sha256,mal_type_11000,adware,flooder,ransomware,dropper,spyware,packed,crypto_miner,file_infector,installer,worm,downloader
2b8cb875f9798dc6ea3ee45e5a45341361a0bfab3ea66cb10af6194204555ce2,spyware,0,0,0,0,8,2,0,8,0,0,0
e6c2de0c64c47ce56b3a2f0311bc39f06ea2486b1652c882de00be80fbaca79c,file_infector,0,0,0,0,0,0,0,4,0,1,0
6a4ba588f30bf416c4967abf4ba99500201234230fdd885c0196eb9f54de9cdc,file_infector,0,0,0,0,0,0,0,4,0,2,0
9df95d17d2c4ea424fec00face6c8ecefd441721d54b3db52241e607ca69d960,worm,0,0,0,2,0,1,0,2,0,6,0
5cc6a2d4fed02f2e21309d04bd3b5896de86894ff36f4085395ede7758e0642f,downloader,0,0,0,0,4,0,0,0,0,0,16
7e1bef21dc0ea3b7003b6cdee2b7276d784d68b9272e5221a109115aef563b23,adware,0,0,0,0,0,0,0,0,0,0,0
52f9d5011f59ae8e44feeccd2c89bc41b0b805d9fb2a2917333f5e5151e7301d,adware,0,0,0,0,0,0,0,0,0,0,0
a83e76dcfdde8eecb3df2c7e55bc974cfdbfa5e4e01b77af966e208705867135,adware,0,0,0,0,0,0,0,0,0,0,0
5354a3305c54a47dc0226adfd156e0cec767f268f356ce623dcfac6c132c9189,downloader,0,0,0,2,0,2,0,2,0,0,4
bcd2a4776dfb8fc91e5c54fc7ba3c24a31012fac13304f37653b6aa0e19cf69a,worm,0,0,0,1,0,0,0,0,0,8,0
8548c5f943ebcf369ad1fcfad997f77dbcf3821bdaecf507012ed38943113948,adware,3,0,0,0,0,2,0,0,2,0,0
38e64cb77e13fdd52a0a87a0a9288a9b6d98a597ec4f9b941fd6b8c3c0005545,spyware,0,0,0,0,7,1,0,0,0,0,0
d40dcc2b486153181a8e93afda1c519021756de9c41cfcc18c65af5088ca050d,downloader,0,0,0,0,1,6,0,0,0,0,14
3db9b1bda7a61e7ce3b34dadef3bf2374515213f2fff7c4c76bb7c6533babcf6,spyware,0,0,0,0,16,0,0,16,0,0,0
c13bd191e9f93f97987b9c863ad0e466905053df4ffbb0e4705fd70067642c37,downloader,0,0,0,0,6,0,0,0,0,0,10
aac39b10c6cc6b4830e6b3c6899098fdf24c80a11d8a5be1d0bf62812e418a31,ransomware,0,0,2,0,0,0,0,2,0,0,0
29560ae85f90dbea8460e17d74a8daf0bb8828abef9103d3ce0e8d99d1cdbf11,file_infector,0,0,0,0,0,0,0,4,0,2,0
ae89e159355ba17a126a87da64e3e16434d4c2db65025789a98eba9380b44413,worm,0,0,0,3,4,0,0,0,0,9,6
54186e9b19c874d797a4d91fbcbf0189b45bd1abe593f8c9cac15e3de854344c,adware,2,0,0,0,0,0,0,0,0,0,0
37ed9bf4943f20620e103a42fe6698c3f4e80349ac27a3f67eae54f3d476c345,spyware,0,0,0,1,2,2,0,0,0,0,0
eb24f89e9f5b32ba490cd921a06dd3236ce57546207cf2a0f8ab74bcf6b7872f,ransomware,0,0,9,9,5,0,0,0,0,0,0
3dbad770a452825c9c5bb72ae18885046c10c8636ee5772ce519b847b4eb6680,spyware,0,0,0,0,2,0,0,0,0,2,0
7c1801a68d4add5ac075c5c4489e093e7cb4ad132672dd8c0cc2ed5b8d50184e,adware,0,0,0,0,0,0,0,0,0,0,0
3b27ea1b76ccd5965aa524c942c20ffc8e2264c051b66a1c58eb0d5d71a137d5,crypto_miner,3,0,0,2,10,3,14,10,0,10,11
f5ed0d9dae8e18d7ce5fdd3a9daba9ec325fc941b00970abab34a038233c333c,downloader,7,0,0,0,0,0,0,0,11,0,12
882ad9c27476c7819367373f194fae8d8e7e361d7a3eca622e2dc69cdd442c12,ransomware,0,0,10,0,0,2,0,5,0,0,0
37dca27b6d08e9395fecc5280228a3d48713cbfb0b621a9ea57c396343551201,spyware,0,0,0,0,4,0,0,0,0,2,0
168be2529d3aaf5cc9fff09d01c9963b300a239f1d5a0b5a7d2cfc624c8fda2f,downloader,0,0,0,0,0,0,0,0,0,0,1
27b1cfd65655929496c799510b804b5a075557d8c1acaf3cd9cbb72cc35c73c2,file_infector,0,0,0,0,0,0,0,4,0,2,0
388283b7c00f6b21ae6f2dd63b95a643e3fb75f8afe01a3e70f7c1dcb21f0f3d,installer,4,0,0,0,2,0,0,0,13,0,0
e581c5257c4cb36e7ae4172797f897f877576ec3b30efb6e17092737e36647ba,dropper,1,0,0,5,5,1,0,1,0,1,0
fcd891012022fb7710eb876f25f1f6b7d7428e1c235e2c7641ed011bcd371f7d,adware,6,0,0,1,2,0,0,1,0,0,0
814c4b0c01755c537f3ab37c3bd580f07369a10783d19c5485ae71b29c3d2f12,dropper,0,0,0,1,0,0,0,0,0,0,0
fc7dc0dbe739761bd3ec8f5554fa1a3b7868aa02b327de2974990ab15ea2f07f,worm,0,0,0,0,1,2,0,0,0,8,2
f20bd4a0acfe8e0d7ecfc213efe2af374e2cc83db1d7101d3d816ebe5687ddbb,downloader,0,0,0,0,6,0,0,0,0,0,20
665eb7c7d7ca6931f7cd7bc6aff46ad4b0b3d85a6f8570767c24e466d2eee2a2,packed,1,0,0,0,2,4,0,0,0,0,0
9dfb34cf3ae9a3e323ad788a2592aaa8255ba52b76d7091e659a5f7fe8ada350,dropper,0,0,0,2,0,0,0,0,0,0,1
a2a92dc9dd62901ef9440cb659ec0b34144271df7fd04a64c11412d01b37bca1,worm,0,0,0,0,0,0,0,10,0,13,0
fe11a0e426709e56cdb1b4274b5cd59bb1c09fa35fc87f691d773173518b9436,spyware,0,0,0,0,3,1,0,0,0,0,0
c511ebb7ccbc85dfee813f2fc657333745c91874fd8f3a1e777c25b8edf0f79b,file_infector,2,0,0,1,2,0,0,5,0,0,0
d165da16cf0dcaecd4c2258294d55e9787307dc9dd34683701e675582999bd94,packed,0,0,0,0,2,5,0,0,0,0,0
22ed4549703c7fcd290e4ae8e84674af2af12858bbffcb2da83314f5cb4a5986,packed,0,0,0,0,3,5,0,0,0,0,0
988a1df34bdc4ebfffa2901781a9fde70fdc682452ad85d08dde894815116fae,dropper,0,0,0,2,0,0,0,0,0,0,0
d98917462cd7e6f4f541024a300d668b0e649806703a41c6c66d8952599c2516,spyware,0,0,0,0,16,0,0,16,0,0,0
7ee88f94652cf7f2eac2eee14014ccd74f39cb56f51feb4421efc2a3d667c8b0,worm,0,0,1,1,0,0,0,0,0,5,0
aa3cba188cb213817cf7c01502bd876a83e75833dc315e3fa96f55efd7c8f675,file_infector,0,0,0,1,0,0,0,10,0,0,0
d4e8ab8f8a72d4dd8c4f0003b9b5cc6cecdd0a55ec270141fc5e82a4bf780e4f,ransomware,0,0,11,0,0,2,0,6,0,0,0
3d4e3c2f84c3d5423d84719edea223f23bcf40d36c2f55f9a9f0902da8f34fc5,worm,1,0,0,4,6,1,0,0,0,9,7
a44e042374005d9ab9ba496133bb3c6342aeab217155cd04e09b45cdcec3d9fe,adware,0,0,0,0,0,0,0,0,0,0,0
10b5f35c6ee7a8f41068dced3698ee191809367688295e8e82751a9507bfe9f6,crypto_miner,0,0,0,1,2,0,12,1,0,0,0
55fa9ce79b8c7140cf245acb20d4b3484578859ba8373f0a64b325b3692af30e,spyware,3,0,0,0,11,2,0,0,0,0,0
981e9bea84b4a1362a0202bd399fbf6a58516e6fa1d23afd5909ed97b2d8903c,downloader,0,0,0,0,2,4,0,0,0,0,9
69a63226c1785bf3d820be09116b32a2bfcbf5f3a61fcfd44b58216e5867f5be,spyware,0,0,0,0,2,0,0,0,0,2,0
745c56d4026d1fde06afa75443cdbd0524ce5b79168660f3aff080cad5b2bc0b,downloader,3,0,0,1,1,0,0,0,0,0,8
b81e5b4da1c13325c3c3ceade4212e5f06f2fddb9b94cab04fc93ffa322d8905,spyware,3,0,0,1,4,2,0,0,0,0,0
b6ae8f0ade68590c68ce667587c97843c8450cc0bbce60195fe9d018656d1238,ransomware,0,0,10,0,0,3,0,7,0,0,0
26ef19a2383af5b086959e4141d4ef3ae02a9de4e1ca515d1a63f5623f898703,packed,0,0,0,0,0,3,0,0,0,2,0
478b28dac828884281a1c639fed99e1bd638b82381c74e548dfced8465c12181,file_infector,0,0,0,0,0,0,0,2,0,0,0
127afd514e89edfce5ad18d674b7dec2412426156581f968f513fe122543df93,worm,0,0,0,0,0,0,0,0,0,12,0
f1ebfa17fb49265c28788f7af9752492e76375b533680edf4576ce66138d67f2,spyware,0,0,0,0,3,0,0,0,0,0,1
f5fd6e4987a7f4ce1f1f38498198ed765ecf0d2a3f28d7b23bbaa542c31462e2,packed,0,0,0,0,0,4,0,1,0,1,0
24a3e57b01892a544c7bf0282c372c70cb099af18d811942461a939a095d138d,worm,0,0,1,3,2,0,0,0,0,6,0
